JobID UserName QueueName TotalNodes TotalCores RequiredTime JobState ElaspedTime NodeList
991949.un05 prasenj large 6 120 96:00 R 47:55 hpc286,hpc294,hpc298,hpc303,hpc315,hpc307
999789.un05 prasenj medium 4 80 96:00 R 43:12 hpc635,hpc637,hpc643,hpc644
1003209.un05 vikashg2 medium 4 80 96:00 R 30:53 hpc499,hpc504,hpc505,hpc506
1003935.un05 vikashg2 medium 4 80 96:00 R 30:21 hpc547,hpc573,hpc576,hpc563
1004944.un05 prasenj small 2 40 120:0 R 06:04 hpc769,hpc771
1005806.un05 subhamr medium 4 80 96:00 R 41:35 hpc602,hpc608,hpc610,hpc612
1009389.un05 lawpraka large 16 320 96:00 R 17:44 hpc006,hpc008,hpc025,hpc028,hpc033,hpc037,hpc224,hpc239,hpc248,hpc343,hpc352,hpc380,hpc383,hpc409,hpc417,hpc466
1009584.un05 yksri large 16 320 96:00 R 00:14 hpc232,hpc434,hpc435,hpc085,hpc228,hpc230,hpc407,hpc476,hpc153,hpc112,hpc270,hpc271,hpc274,hpc275,hpc306,hpc308
1006990.un05 subhamr small 2 40 120:0 R 41:39 hpc808,hpc814
1008596.un05 anandha2 large 16 320 96:00 R 95:16 hpc401,hpc411,hpc311,hpc064,hpc084,hpc375,hpc398,hpc412,hpc431,hpc219,hpc220,hpc221,hpc223,hpc268,hpc269,hpc381
1007679.un05 meesalas small 2 40 120:0 R 108:2 hpc747,hpc745
1008882.un05 shaik22 large 16 320 96:00 R 72:21 hpc240,hpc368,hpc387,hpc113,hpc114,hpc115,hpc236,hpc238,hpc263,hpc281,hpc284,hpc287,hpc288,hpc289,hpc290,hpc292
1008589.un05 kavanmp2 large 16 320 96:00 R 91:59 hpc152,hpc416,hpc265,hpc031,hpc032,hpc143,hpc144,hpc145,hpc146,hpc147,hpc148,hpc187,hpc194,hpc235,hpc278,hpc317
1007966.un05 bgovind small 2 40 120:0 R 111:4 hpc838,hpc827
1008531.un05 gdurgesh large 16 320 96:00 R 90:28 hpc392,hpc397,hpc123,hpc125,hpc124,hpc126,hpc127,hpc128,hpc129,hpc130,hpc133,hpc134,hpc160,hpc225,hpc262,hpc338
1008208.un05 subhamr small 2 40 120:0 R 39:40 hpc765,hpc759
